person_id,display_name,segment_id,source_kind,source_ref,lane_id,lane_label,short_label,responsibility_label,carrier_kind,current_segment_state,proposed_baseline_pas,proposed_baseline_pas_state,proposed_effective_pas,proposed_effective_pas_state,evidence_coverage_pct,explicit_missing_observation_count,proposed_width_basis,tooltip_state,current_ui_segment_pas_value,current_ui_segment_pas_state,ui_files_modified,runtime_authority,proposal_id
t0p_b21c9327a2680555558e2d7c,Ralph Scriven,responsibility:uatdem_f171972ed7bc73bb1cf5c661,responsibility,uatdem_f171972ed7bc73bb1cf5c661,military_readiness,Military Readiness,Muster,Military equipment and horse stores,martial_service_assignment,unresolved_or_candidate,0.45,calibration_v0_prior_proposed_not_current_contract_value,,unavailable_missing_required_workload_drivers,16.67,4,proposed_baseline_pas_calibration_v0_reference,show_calibration_prior_baseline_and_effective_pas_unavailable,,held_unapproved,0,0,M5-W7-PAS-CALIBRATION-V0-POPULATION-PROPOSAL-001
t0p_b21c9327a2680555558e2d7c,Ralph Scriven,responsibility:uatdem_50faab0e8552d2f3c5ff8f12,responsibility,uatdem_50faab0e8552d2f3c5ff8f12,military_readiness,Military Readiness,Muster,Muster and service roster,martial_service_assignment,unresolved_or_candidate,0.35,calibration_v0_prior_proposed_not_current_contract_value,,unavailable_missing_required_workload_drivers,0.00,3,proposed_baseline_pas_calibration_v0_reference,show_calibration_prior_baseline_and_effective_pas_unavailable,,held_unapproved,0,0,M5-W7-PAS-CALIBRATION-V0-POPULATION-PROPOSAL-001
t0p_058aaabc0cc600212382bb42,Eudes of Pearwick Hall,assignment_signal:t0p_058aaabc0cc600212382bb42:martial_service:Crown delegated or reserved service actor (Unresolved / Martial service),assignment_signal,t0p_058aaabc0cc600212382bb42,military_readiness,Military Readiness,Muster,Crown delegated or reserved service actor (Unresolved / Martial service),martial_service,unresolved_or_candidate,,not_applicable_assignment_signal_is_not_responsibility_demand,,not_applicable_assignment_signal_is_not_responsibility_demand,,,equal_width_not_pas_applicable_assignment_signal,show_assignment_signal_pas_not_applicable,,held_unapproved,0,0,M5-W7-PAS-CALIBRATION-V0-POPULATION-PROPOSAL-001
t0p_56033e4ecf3e86ff0dd615c4,Edmund of Pearwick Hall,assignment_signal:t0p_56033e4ecf3e86ff0dd615c4:office:Estate Steward / Bailiff of House Pearwick Hall (Occupied / Office),assignment_signal,t0p_56033e4ecf3e86ff0dd615c4,estate_fiscal,Estate / Fiscal,Estate,Estate Steward / Bailiff of House Pearwick Hall (Occupied / Office),office,structurally_assigned,,not_applicable_assignment_signal_is_not_responsibility_demand,,not_applicable_assignment_signal_is_not_responsibility_demand,,,equal_width_not_pas_applicable_assignment_signal,show_assignment_signal_pas_not_applicable,,held_unapproved,0,0,M5-W7-PAS-CALIBRATION-V0-POPULATION-PROPOSAL-001
t0p_56033e4ecf3e86ff0dd615c4,Edmund of Pearwick Hall,responsibility:uatdem_739a8e276ac80c1184c392f7,responsibility,uatdem_739a8e276ac80c1184c392f7,estate_fiscal,Estate / Fiscal,Estate,Fiscal administration,office_assignment,structurally_assigned,0.12,calibration_v0_prior_proposed_not_current_contract_value,,unavailable_missing_required_workload_drivers,50.00,3,proposed_baseline_pas_calibration_v0_reference,show_calibration_prior_baseline_and_effective_pas_unavailable,,held_unapproved,0,0,M5-W7-PAS-CALIBRATION-V0-POPULATION-PROPOSAL-001
t0p_56033e4ecf3e86ff0dd615c4,Edmund of Pearwick Hall,responsibility:uatdem_e61403c69bd7fa606c22c529,responsibility,uatdem_e61403c69bd7fa606c22c529,estate_fiscal,Estate / Fiscal,Estate,Manor daily operations,office_assignment,structurally_assigned,0.38,calibration_v0_prior_proposed_not_current_contract_value,,unavailable_missing_required_workload_drivers,16.67,9,proposed_baseline_pas_calibration_v0_reference,show_calibration_prior_baseline_and_effective_pas_unavailable,,held_unapproved,0,0,M5-W7-PAS-CALIBRATION-V0-POPULATION-PROPOSAL-001
t0p_56033e4ecf3e86ff0dd615c4,Edmund of Pearwick Hall,responsibility:uatdem_315b27281b1620fd260c8564,responsibility,uatdem_315b27281b1620fd260c8564,estate_fiscal,Estate / Fiscal,Estate,Portfolio oversight,office_assignment,structurally_assigned,0.16,calibration_v0_prior_proposed_not_current_contract_value,,unavailable_missing_required_workload_drivers,33.33,4,proposed_baseline_pas_calibration_v0_reference,show_calibration_prior_baseline_and_effective_pas_unavailable,,held_unapproved,0,0,M5-W7-PAS-CALIBRATION-V0-POPULATION-PROPOSAL-001
t0p_56033e4ecf3e86ff0dd615c4,Edmund of Pearwick Hall,responsibility:uatdem_c3a0c3cd5a55b27845709753,responsibility,uatdem_c3a0c3cd5a55b27845709753,estate_fiscal,Estate / Fiscal,Estate,Tenure and operator fabric,office_assignment,structurally_assigned,0.38,calibration_v0_prior_proposed_not_current_contract_value,,unavailable_missing_required_workload_drivers,33.33,6,proposed_baseline_pas_calibration_v0_reference,show_calibration_prior_baseline_and_effective_pas_unavailable,,held_unapproved,0,0,M5-W7-PAS-CALIBRATION-V0-POPULATION-PROPOSAL-001
t0p_56033e4ecf3e86ff0dd615c4,Edmund of Pearwick Hall,responsibility:uatdem_7e72d48bf8030d08dd8dd357,responsibility,uatdem_7e72d48bf8030d08dd8dd357,household_dynasty,Household / Dynasty,House,Household operations,office_assignment,structurally_assigned,0.15,calibration_v0_prior_proposed_not_current_contract_value,,unavailable_missing_required_workload_drivers,20.00,3,proposed_baseline_pas_calibration_v0_reference,show_calibration_prior_baseline_and_effective_pas_unavailable,,held_unapproved,0,0,M5-W7-PAS-CALIBRATION-V0-POPULATION-PROPOSAL-001
t0p_d46018cec3d07ea31283ceed,"Aethelred Black, household clerk records keeper",responsibility:uatdem_acbc4b13417a8cda89dc8f37,responsibility,uatdem_acbc4b13417a8cda89dc8f37,estate_fiscal,Estate / Fiscal,Estate,Fiscal administration,office_assignment,structurally_assigned,0.12,calibration_v0_prior_proposed_not_current_contract_value,,unavailable_missing_required_workload_drivers,50.00,3,proposed_baseline_pas_calibration_v0_reference,show_calibration_prior_baseline_and_effective_pas_unavailable,,held_unapproved,0,0,M5-W7-PAS-CALIBRATION-V0-POPULATION-PROPOSAL-001
t0p_d46018cec3d07ea31283ceed,"Aethelred Black, household clerk records keeper",responsibility:uatdem_a314a59c4b78c9307b96786a,responsibility,uatdem_a314a59c4b78c9307b96786a,knowledge_records,Knowledge / Records,Records,Records and knowledge custody,office_assignment,structurally_assigned,0.30,calibration_v0_prior_proposed_not_current_contract_value,,unavailable_missing_required_workload_drivers,16.67,5,proposed_baseline_pas_calibration_v0_reference,show_calibration_prior_baseline_and_effective_pas_unavailable,,held_unapproved,0,0,M5-W7-PAS-CALIBRATION-V0-POPULATION-PROPOSAL-001
t0p_d46018cec3d07ea31283ceed,"Aethelred Black, household clerk records keeper",responsibility:uatdem_c3b6f7b2aa347f3c3637f01d,responsibility,uatdem_c3b6f7b2aa347f3c3637f01d,marriage_alliance,Marriage / Alliance,Marriage,Marriage and dynasty watch,office_assignment,structurally_assigned,0.18,calibration_v0_prior_proposed_not_current_contract_value,,unavailable_missing_required_workload_drivers,33.33,2,proposed_baseline_pas_calibration_v0_reference,show_calibration_prior_baseline_and_effective_pas_unavailable,,held_unapproved,0,0,M5-W7-PAS-CALIBRATION-V0-POPULATION-PROPOSAL-001
t0p_a8bb623f1d194c7735180e29,Gerard Scrivener,responsibility:uatdem_4d5020bffe0657872abe2d29,responsibility,uatdem_4d5020bffe0657872abe2d29,church,Church,Church,Church legitimacy watch,office_assignment,structurally_assigned,0.18,calibration_v0_prior_proposed_not_current_contract_value,,unavailable_missing_required_workload_drivers,0.00,4,proposed_baseline_pas_calibration_v0_reference,show_calibration_prior_baseline_and_effective_pas_unavailable,,held_unapproved,0,0,M5-W7-PAS-CALIBRATION-V0-POPULATION-PROPOSAL-001
t0p_a8bb623f1d194c7735180e29,Gerard Scrivener,responsibility:uatdem_68f7807eec9715f260f3ad99,responsibility,uatdem_68f7807eec9715f260f3ad99,church,Church,Church,Pastoral care and ritual,office_assignment,structurally_assigned,0.34,calibration_v0_prior_proposed_not_current_contract_value,,unavailable_missing_required_workload_drivers,25.00,3,proposed_baseline_pas_calibration_v0_reference,show_calibration_prior_baseline_and_effective_pas_unavailable,,held_unapproved,0,0,M5-W7-PAS-CALIBRATION-V0-POPULATION-PROPOSAL-001
t0p_a8bb623f1d194c7735180e29,Gerard Scrivener,responsibility:uatdem_cc2ce5aef741341f06441b7b,responsibility,uatdem_cc2ce5aef741341f06441b7b,knowledge_records,Knowledge / Records,Records,Records and knowledge custody,office_assignment,structurally_assigned,0.30,calibration_v0_prior_proposed_not_current_contract_value,,unavailable_missing_required_workload_drivers,16.67,5,proposed_baseline_pas_calibration_v0_reference,show_calibration_prior_baseline_and_effective_pas_unavailable,,held_unapproved,0,0,M5-W7-PAS-CALIBRATION-V0-POPULATION-PROPOSAL-001
t0p_1a435b2adb59bfd7d0c79d28,Ralph Woolman,responsibility:uatdem_986f3a433f1a67663d647a0b,responsibility,uatdem_986f3a433f1a67663d647a0b,estate_fiscal,Estate / Fiscal,Estate,Fiscal administration,office_assignment,structurally_assigned,0.12,calibration_v0_prior_proposed_not_current_contract_value,,unavailable_missing_required_workload_drivers,50.00,3,proposed_baseline_pas_calibration_v0_reference,show_calibration_prior_baseline_and_effective_pas_unavailable,,held_unapproved,0,0,M5-W7-PAS-CALIBRATION-V0-POPULATION-PROPOSAL-001
t0p_1a435b2adb59bfd7d0c79d28,Ralph Woolman,responsibility:uatdem_4f2125ba27ab5447dc609138,responsibility,uatdem_4f2125ba27ab5447dc609138,estate_fiscal,Estate / Fiscal,Estate,Obligation and due calendar watch,office_assignment,structurally_assigned,0.12,calibration_v0_prior_proposed_not_current_contract_value,,unavailable_missing_required_workload_drivers,0.00,3,proposed_baseline_pas_calibration_v0_reference,show_calibration_prior_baseline_and_effective_pas_unavailable,,held_unapproved,0,0,M5-W7-PAS-CALIBRATION-V0-POPULATION-PROPOSAL-001
t0p_1a435b2adb59bfd7d0c79d28,Ralph Woolman,responsibility:uatdem_d307929bb873e7aca3fbaa9e,responsibility,uatdem_d307929bb873e7aca3fbaa9e,knowledge_records,Knowledge / Records,Records,Records and knowledge custody,office_assignment,structurally_assigned,0.30,calibration_v0_prior_proposed_not_current_contract_value,,unavailable_missing_required_workload_drivers,16.67,5,proposed_baseline_pas_calibration_v0_reference,show_calibration_prior_baseline_and_effective_pas_unavailable,,held_unapproved,0,0,M5-W7-PAS-CALIBRATION-V0-POPULATION-PROPOSAL-001
t0p_334927a7b877bbb47382f107,Wulfstan Ford,responsibility:uatdem_28c8f247a9a67fc96dbea8f6,responsibility,uatdem_28c8f247a9a67fc96dbea8f6,estate_fiscal,Estate / Fiscal,Estate,Manor daily operations,office_assignment,structurally_assigned,0.38,calibration_v0_prior_proposed_not_current_contract_value,,unavailable_missing_required_workload_drivers,16.67,9,proposed_baseline_pas_calibration_v0_reference,show_calibration_prior_baseline_and_effective_pas_unavailable,,held_unapproved,0,0,M5-W7-PAS-CALIBRATION-V0-POPULATION-PROPOSAL-001
t0p_334927a7b877bbb47382f107,Wulfstan Ford,responsibility:uatdem_ed0a61265972ec868e3d3921,responsibility,uatdem_ed0a61265972ec868e3d3921,knowledge_records,Knowledge / Records,Records,Transport messaging and correspondence movement,office_assignment,structurally_assigned,0.20,calibration_v0_prior_proposed_not_current_contract_value,,unavailable_missing_required_workload_drivers,0.00,5,proposed_baseline_pas_calibration_v0_reference,show_calibration_prior_baseline_and_effective_pas_unavailable,,held_unapproved,0,0,M5-W7-PAS-CALIBRATION-V0-POPULATION-PROPOSAL-001
t0p_334927a7b877bbb47382f107,Wulfstan Ford,responsibility:uatdem_770254a789325abce6f0bb4c,responsibility,uatdem_770254a789325abce6f0bb4c,local_order_labor,Local Order / Labor,Order,Local order and grievance sensing,office_assignment,structurally_assigned,0.34,calibration_v0_prior_proposed_not_current_contract_value,,unavailable_missing_required_workload_drivers,0.00,3,proposed_baseline_pas_calibration_v0_reference,show_calibration_prior_baseline_and_effective_pas_unavailable,,held_unapproved,0,0,M5-W7-PAS-CALIBRATION-V0-POPULATION-PROPOSAL-001
t0p_88f787fdeb16b923a5f05efe,"Thierry Shield, retainer captain muster lead",responsibility:uatdem_d2f6f8940babad808a1258a9,responsibility,uatdem_d2f6f8940babad808a1258a9,military_readiness,Military Readiness,Muster,Military and security readiness,office_assignment,structurally_assigned,0.20,calibration_v0_prior_proposed_not_current_contract_value,,unavailable_missing_required_workload_drivers,25.00,3,proposed_baseline_pas_calibration_v0_reference,show_calibration_prior_baseline_and_effective_pas_unavailable,,held_unapproved,0,0,M5-W7-PAS-CALIBRATION-V0-POPULATION-PROPOSAL-001
t0p_88f787fdeb16b923a5f05efe,"Thierry Shield, retainer captain muster lead",responsibility:uatdem_3ff407db5e51d8d300a426da,responsibility,uatdem_3ff407db5e51d8d300a426da,military_readiness,Military Readiness,Muster,Muster and service roster,office_assignment,structurally_assigned,0.35,calibration_v0_prior_proposed_not_current_contract_value,,unavailable_missing_required_workload_drivers,0.00,3,proposed_baseline_pas_calibration_v0_reference,show_calibration_prior_baseline_and_effective_pas_unavailable,,held_unapproved,0,0,M5-W7-PAS-CALIBRATION-V0-POPULATION-PROPOSAL-001
